"user_id","profile","cleaning_efficiency","consumables","comparison","time"
"1001","65 sqm apartment | single user | hardwood floors","coverage:85%; daily cleaning:45 sqm; missed area:under sofa due to low clearance","main brush life:60 days left; HEPA filter:40 percent remaining","better than 65 percent of similar-size homes due to higher cleaning frequency","2025-01"
"1002","70 sqm apartment | couple | tile floors","coverage:88%; obstacle failures:2 per week due to cable tangles","side brush wear:moderate; dustbin cleared:every 3 days","mopping usage is 30 percent lower than similar users","2025-01"
"1003","90 sqm home | one dog | low-pile carpet","pet hair pickup:92%; carpet boost used:15 times per month","rubber brush life:25 days left; dustbin:emptied daily","pet-hair handling is in the top 15 percent","2025-01"
"1004","85 sqm home | two cats | mixed floors","cat litter cleanup:8 times per month; auto-return success:89 percent","main brush tangling:severe; filter replacement:urgent","recommend increasing suction to at least 2500 Pa","2025-01"
"1005","120 sqm home | elderly user | anti-slip tile","manual operation:95 percent; scheduled cleaning:not used","battery degradation:25 percent; water tank:not activated","voice control setup is strongly recommended","2025-01"
"1006","150 sqm multi-level home | children | multiple floors","floor transition failures:3 per week; toy avoidance:76 percent","side brush replacement:2 per quarter; dust bag use:1 per month","multi-floor convenience is below comparable users","2025-01"
"1007","55 sqm one-bedroom | solo user | laminate floor","coverage:90%; daily cleaning:35 sqm; edge cleaning:no missed corners","filter life:80 days left; dustbin cleared:every 5 days","cleaning efficiency is better than 70 percent of small homes","2025-01"
"1001","65 sqm apartment | single user | hardwood floors","coverage:86%; daily cleaning:46 sqm; missed area:under sofa due to low clearance","main brush life:55 days left; HEPA filter:35 percent remaining","better than 68 percent of similar-size homes","2025-02"
"1002","70 sqm apartment | couple | tile floors","coverage:89%; obstacle failures:2 per week; kitchen coverage improved","side brush wear:moderate; dustbin cleared:every 3 days","mopping usage remains below similar users","2025-02"
"1003","90 sqm home | one dog | low-pile carpet","pet hair pickup:91%; carpet boost used:17 times per month","rubber brush life:20 days left; dustbin:emptied daily","pet-hair handling remains strong","2025-02"
"1004","85 sqm home | two cats | mixed floors","cat litter cleanup:9 times per month; auto-return success:88 percent","main brush tangling:severe; filter replacement:urgent","maintenance risk is higher than similar cat homes","2025-02"
"1005","120 sqm home | elderly user | anti-slip tile","manual operation:93 percent; scheduled cleaning:rarely used","battery degradation:27 percent; water tank:not activated","automation adoption is below similar users","2025-02"
"1006","150 sqm multi-level home | children | multiple floors","floor transition failures:2 per week; toy avoidance:78 percent","side brush wear:moderate; dust bag use:1 per month","obstacle handling improved slightly","2025-02"
"1007","55 sqm one-bedroom | solo user | laminate floor","coverage:91%; daily cleaning:36 sqm; edge cleaning:stable","filter life:75 days left; dustbin cleared:every 5 days","small-home efficiency remains high","2025-02"
"1001","65 sqm apartment | single user | hardwood floors","coverage:87%; daily cleaning:47 sqm; missed area:under sofa","main brush life:50 days left; HEPA filter:30 percent remaining","cleaning frequency is above peer average","2025-03"
"1002","70 sqm apartment | couple | tile floors","coverage:87%; cable tangles:3 per week","side brush wear:moderate; dustbin cleared:every 2 days","obstacle preparation is below peer average","2025-03"
"1003","90 sqm home | one dog | low-pile carpet","pet hair pickup:90%; carpet boost used:18 times per month","rubber brush life:15 days left; dustbin:emptied daily","brush replacement should be planned soon","2025-03"
"1004","85 sqm home | two cats | mixed floors","cat litter cleanup:10 times per month; auto-return success:87 percent","main brush tangling:severe; filter replacement:overdue","maintenance urgency is high","2025-03"
"1005","120 sqm home | elderly user | anti-slip tile","manual operation:92 percent; scheduled cleaning:rare","battery degradation:28 percent; water tank:not activated","voice and schedule setup would reduce manual work","2025-03"
"1006","150 sqm multi-level home | children | multiple floors","floor transition failures:2 per week; toy avoidance:79 percent","side brush replacement:due soon; dust bag use:1 per month","large-home coverage is acceptable but obstacle risk remains","2025-03"
"1007","55 sqm one-bedroom | solo user | laminate floor","coverage:91%; daily cleaning:37 sqm; edge cleaning:stable","filter life:70 days left; dustbin cleared:every 5 days","maintenance condition is healthy","2025-03"
"1001","65 sqm apartment | single user | hardwood floors","coverage:88%; daily cleaning:48 sqm; missed area:under sofa improved","main brush life:45 days left; HEPA filter:28 percent remaining","performance continues above peer average","2025-04"
"1002","70 sqm apartment | couple | tile floors","coverage:89%; cable tangles:2 per week","side brush wear:moderate; dustbin cleared:every 2 days","small improvement after cable cleanup","2025-04"
"1003","90 sqm home | one dog | low-pile carpet","pet hair pickup:89%; carpet boost used:18 times per month","rubber brush life:10 days left; dustbin:emptied daily","brush replacement is recommended","2025-04"
